j1,j2,j3,j4,j5,j6,j7,j8,j9,j10,j11,j12,j13,j14,j15,j16,j17,j18,j19,j20,j21,j22,j23,j24,j25
0,-0.041022925,1.570796327,0.039722925,0,0,0,0,-0.00273,-0.515342191,1.006174626,-0.503022313,0.00273,-0.00273,-0.515342191,1.006174626,-0.503022313,0.00273,1.570796327,-0.039722925,0,0,0,0,0
0,-0.030752925,1.570796327,0.029352925,0,0,0,0,-0.00294,-0.517392191,1.016444626,-0.508152313,0.00294,-0.00294,-0.517392191,1.016444626,-0.508152313,0.00294,1.570796327,-0.029352925,0,0,0,0,0
0,-0.020482925,1.570796327,0.018982925,0,0,0,0,-0.00315,-0.519442191,1.026714626,-0.513282313,0.00315,-0.00315,-0.519442191,1.026714626,-0.513282313,0.00315,1.570796327,-0.018982925,0,0,0,0,0
0,-0.010212925,1.570796327,0.008612925,0,0,0,0,-0.00336,-0.521492191,1.036984626,-0.518412313,0.00336,-0.00336,-0.521492191,1.036984626,-0.518412313,0.00336,1.570796327,-0.008612925,0,0,0,0,0
0,-0.010212925,1.570796327,0.008612925,0,0,0,0,-0.00336,-0.523542191,1.036984626,-0.523542313,0.00336,-0.00336,-0.523542191,1.036984626,-0.523542313,0.00336,1.570796327,-0.008612925,0,0,0,0,0
0,-0.164262925,1.570796327,0.164162925,0,0,0,0,-0.00021,-0.490742191,0.882934626,-0.441462313,0.00021,-0.00021,-0.490742191,0.882934626,-0.441462313,0.00021,1.570796327,-0.164162925,0,0,0,0,0
0,-0.153992925,1.570796327,0.153792925,0,0,0,0,-0.00042,-0.492792191,0.893204626,-0.446592313,0.00042,-0.00042,-0.492792191,0.893204626,-0.446592313,0.00042,1.570796327,-0.153792925,0,0,0,0,0
0,-0.143722925,1.570796327,0.143422925,0,0,0,0,-0.00063,-0.494842191,0.903474626,-0.451722313,0.00063,-0.00063,-0.494842191,0.903474626,-0.451722313,0.00063,1.570796327,-0.143422925,0,0,0,0,0
0,-0.133452925,1.570796327,0.133052925,0,0,0,0,-0.00084,-0.496892191,0.913744626,-0.456852313,0.00084,-0.00084,-0.496892191,0.913744626,-0.456852313,0.00084,1.570796327,-0.133052925,0,0,0,0,0
0,-0.123182925,1.570796327,0.122682925,0,0,0,0,-0.00105,-0.498942191,0.924014626,-0.461982313,0.00105,-0.00105,-0.498942191,0.924014626,-0.461982313,0.00105,1.570796327,-0.122682925,0,0,0,0,0
0,-0.112912925,1.570796327,0.112312925,0,0,0,0,-0.00126,-0.500992191,0.934284626,-0.467112313,0.00126,-0.00126,-0.500992191,0.934284626,-0.467112313,0.00126,1.570796327,-0.112312925,0,0,0,0,0
0,-0.102642925,1.570796327,0.101942925,0,0,0,0,-0.00147,-0.503042191,0.944554626,-0.472242313,0.00147,-0.00147,-0.503042191,0.944554626,-0.472242313,0.00147,1.570796327,-0.101942925,0,0,0,0,0
0,-0.092372925,1.570796327,0.091572925,0,0,0,0,-0.00168,-0.505092191,0.954824626,-0.477372313,0.00168,-0.00168,-0.505092191,0.954824626,-0.477372313,0.00168,1.570796327,-0.091572925,0,0,0,0,0
0,-0.082102925,1.570796327,0.081202925,0,0,0,0,-0.00189,-0.507142191,0.965094626,-0.482502313,0.00189,-0.00189,-0.507142191,0.965094626,-0.482502313,0.00189,1.570796327,-0.081202925,0,0,0,0,0
0,-0.071832925,1.570796327,0.070832925,0,0,0,0,-0.0021,-0.509192191,0.975364626,-0.487632313,0.0021,-0.0021,-0.509192191,0.975364626,-0.487632313,0.0021,1.570796327,-0.070832925,0,0,0,0,0
0,-0.061562925,1.570796327,0.060462925,0,0,0,0,-0.00231,-0.511242191,0.985634626,-0.492762313,0.00231,-0.00231,-0.511242191,0.985634626,-0.492762313,0.00231,1.570796327,-0.060462925,0,0,0,0,0
0,-0.051292925,1.570796327,0.050092925,0,0,0,0,-0.00252,-0.513292191,0.995904626,-0.497892313,0.00252,-0.00252,-0.513292191,0.995904626,-0.497892313,0.00252,1.570796327,-0.050092925,0,0,0,0,0
0,-0.041022925,1.570796327,0.039722925,0,0,0,0,-0.00273,-0.515342191,1.006174626,-0.503022313,0.00273,-0.00273,-0.515342191,1.006174626,-0.503022313,0.00273,1.570796327,-0.039722925,0,0,0,0,0
0,-0.030752925,1.570796327,0.029352925,0,0,0,0,-0.00294,-0.517392191,1.016444626,-0.508152313,0.00294,-0.00294,-0.517392191,1.016444626,-0.508152313,0.00294,1.570796327,-0.029352925,0,0,0,0,0
0,-0.020482925,1.570796327,0.018982925,0,0,0,0,-0.00315,-0.519442191,1.026714626,-0.513282313,0.00315,-0.00315,-0.519442191,1.026714626,-0.513282313,0.00315,1.570796327,-0.018982925,0,0,0,0,0
0,-0.010212925,1.570796327,0.008612925,0,0,0,0,-0.00336,-0.521492191,1.036984626,-0.518412313,0.00336,-0.00336,-0.521492191,1.036984626,-0.518412313,0.00336,1.570796327,-0.008612925,0,0,0,0,0
0,-0.010212925,1.570796327,0.008612925,0,0,0,0,-0.00336,-0.523542191,1.036984626,-0.523542313,0.00336,-0.00336,-0.523542191,1.036984626,-0.523542313,0.00336,1.570796327,-0.008612925,0,0,0,0,0
0,-0.164262925,1.570796327,0.164162925,0,0,0,0,-0.00041,-0.490642191,0.882934626,-0.441572313,0.00041,-0.00041,-0.490642191,0.882934626,-0.441572313,0.00041,1.570796327,-0.164162925,0,0,0,0,0
0,-0.153992925,1.570796327,0.153792925,0,0,0,0,-0.00082,-0.492592191,0.893204626,-0.446812313,0.00082,-0.00082,-0.492592191,0.893204626,-0.446812313,0.00082,1.570796327,-0.153792925,0,0,0,0,0
0,-0.143722925,1.570796327,0.143422925,0,0,0,0,-0.00123,-0.494542191,0.903474626,-0.452052313,0.00123,-0.00123,-0.494542191,0.903474626,-0.452052313,0.00123,1.570796327,-0.143422925,0,0,0,0,0
0,-0.133452925,1.570796327,0.133052925,0,0,0,0,-0.00164,-0.496492191,0.913744626,-0.457292313,0.00164,-0.00164,-0.496492191,0.913744626,-0.457292313,0.00164,1.570796327,-0.133052925,0,0,0,0,0
0,-0.123182925,1.570796327,0.122682925,0,0,0,0,-0.00205,-0.498442191,0.924014626,-0.462532313,0.00205,-0.00205,-0.498442191,0.924014626,-0.462532313,0.00205,1.570796327,-0.122682925,0,0,0,0,0
0,-0.112912925,1.570796327,0.112312925,0,0,0,0,-0.00246,-0.500392191,0.934284626,-0.467772313,0.00246,-0.00246,-0.500392191,0.934284626,-0.467772313,0.00246,1.570796327,-0.112312925,0,0,0,0,0
0,-0.102642925,1.570796327,0.101942925,0,0,0,0,-0.00287,-0.502342191,0.944554626,-0.473012313,0.00287,-0.00287,-0.502342191,0.944554626,-0.473012313,0.00287,1.570796327,-0.101942925,0,0,0,0,0
0,-0.092372925,1.570796327,0.091572925,0,0,0,0,-0.00328,-0.504292191,0.954824626,-0.478252313,0.00328,-0.00328,-0.504292191,0.954824626,-0.478252313,0.00328,1.570796327,-0.091572925,0,0,0,0,0
0,-0.082102925,1.570796327,0.081202925,0,0,0,0,-0.00369,-0.506242191,0.965094626,-0.483492313,0.00369,-0.00369,-0.506242191,0.965094626,-0.483492313,0.00369,1.570796327,-0.081202925,0,0,0,0,0
0,-0.071832925,1.570796327,0.070832925,0,0,0,0,-0.0041,-0.508192191,0.975364626,-0.488732313,0.0041,-0.0041,-0.508192191,0.975364626,-0.488732313,0.0041,1.570796327,-0.070832925,0,0,0,0,0
0,-0.061562925,1.570796327,0.060462925,0,0,0,0,-0.00451,-0.510142191,0.985634626,-0.493972313,0.00451,-0.00451,-0.510142191,0.985634626,-0.493972313,0.00451,1.570796327,-0.060462925,0,0,0,0,0
0,-0.051292925,1.570796327,0.050092925,0,0,0,0,-0.00492,-0.512092191,0.995904626,-0.499212313,0.00492,-0.00492,-0.512092191,0.995904626,-0.499212313,0.00492,1.570796327,-0.050092925,0,0,0,0,0
0,-0.041022925,1.570796327,0.039722925,0,0,0,0,-0.00533,-0.514042191,1.006174626,-0.504452313,0.00533,-0.00533,-0.514042191,1.006174626,-0.504452313,0.00533,1.570796327,-0.039722925,0,0,0,0,0
0,-0.030752925,1.570796327,0.029352925,0,0,0,0,-0.00574,-0.515992191,1.016444626,-0.509692313,0.00574,-0.00574,-0.515992191,1.016444626,-0.509692313,0.00574,1.570796327,-0.029352925,0,0,0,0,0
0,-0.020482925,1.570796327,0.018982925,0,0,0,0,-0.00615,-0.517942191,1.026714626,-0.514932313,0.00615,-0.00615,-0.517942191,1.026714626,-0.514932313,0.00615,1.570796327,-0.018982925,0,0,0,0,0
0,-0.010212925,1.570796327,0.008612925,0,0,0,0,-0.00656,-0.519892191,1.036984626,-0.520172313,0.00656,-0.00656,-0.519892191,1.036984626,-0.520172313,0.00656,1.570796327,-0.008612925,0,0,0,0,0
0,-0.010212925,1.570796327,0.008612925,0,0,0,0,-0.00697,-0.521842191,1.036984626,-0.520172313,0.00697,-0.00697,-0.521842191,1.036984626,-0.520172313,0.00697,1.570796327,-0.008612925,0,0,0,0,0
0,-0.164262925,1.570796327,0.164162925,0,0,0,0,-0.00062,-0.490642191,0.882934626,-0.441572313,0.00062,-0.00062,-0.490642191,0.882934626,-0.441572313,0.00062,1.570796327,-0.164162925,0,0,0,0,0
0,-0.153992925,1.570796327,0.153792925,0,0,0,0,-0.00124,-0.492592191,0.893204626,-0.446812313,0.00124,-0.00124,-0.492592191,0.893204626,-0.446812313,0.00124,1.570796327,-0.153792925,0,0,0,0,0
0,-0.143722925,1.570796327,0.143422925,0,0,0,0,-0.00186,-0.494542191,0.903474626,-0.452052313,0.00186,-0.00186,-0.494542191,0.903474626,-0.452052313,0.00186,1.570796327,-0.143422925,0,0,0,0,0
0,-0.133452925,1.570796327,0.133052925,0,0,0,0,-0.00248,-0.496492191,0.913744626,-0.457292313,0.00248,-0.00248,-0.496492191,0.913744626,-0.457292313,0.00248,1.570796327,-0.133052925,0,0,0,0,0
0,-0.123182925,1.570796327,0.122682925,0,0,0,0,-0.0031,-0.498442191,0.924014626,-0.462532313,0.0031,-0.0031,-0.498442191,0.924014626,-0.462532313,0.0031,1.570796327,-0.122682925,0,0,0,0,0
0,-0.112912925,1.570796327,0.112312925,0,0,0,0,-0.00372,-0.500392191,0.934284626,-0.467772313,0.00372,-0.00372,-0.500392191,0.934284626,-0.467772313,0.00372,1.570796327,-0.112312925,0,0,0,0,0
0,-0.102642925,1.570796327,0.101942925,0,0,0,0,-0.00434,-0.502342191,0.944554626,-0.473012313,0.00434,-0.00434,-0.502342191,0.944554626,-0.473012313,0.00434,1.570796327,-0.101942925,0,0,0,0,0
